participant_id,gender,age,race_ethnicity,education_level,poverty_income_ratio,interview_sample_weight,exam_sample_weight,strata,psu,interview_sample_weight_missing,pir_category
130422,Male,66,Non-Hispanic White,Some college/AA degree,3.82,34125.214673,43734.59643,177.0,1.0,False,High
130425,Female,68,Non-Hispanic White,Some college/AA degree,1.91,13927.611498,16236.771755,186.0,1.0,False,Mid
130426,Male,67,Mexican American,<9th grade,0.88,7906.639387,10978.367043,183.0,1.0,False,Low
130430,Female,27,Non-Hispanic White,College graduate or above,3.43,103241.512059,128693.106903,173.0,2.0,False,High
130431,Female,80,Mexican American,<9th grade,1.19,21795.985026,40949.225356,180.0,2.0,False,Mid
130434,Male,54,Other/Multi-Racial,High school/GED,0.67,16924.950958,23096.418871,185.0,2.0,False,Low
130436,Male,50,Non-Hispanic White,College graduate or above,5.0,33815.014048,44685.661593,173.0,1.0,False,Very High
130437,Female,43,Non-Hispanic White,Some college/AA degree,1.09,31546.985957,37632.965682,178.0,1.0,False,Mid
130438,Male,63,Other Hispanic,High school/GED,5.0,41031.048087,54924.189551,181.0,2.0,False,Very High
130441,Female,33,Non-Hispanic Asian,College graduate or above,5.0,21091.797216,31895.774371,174.0,2.0,False,Very High
130442,Male,43,Non-Hispanic White,College graduate or above,5.0,25184.547019,32666.193687,179.0,2.0,False,Very High
130443,Male,41,Non-Hispanic White,<9th grade,0.65,71559.174456,111045.836096,178.0,1.0,False,Low
130444,Female,77,Non-Hispanic White,High school/GED,4.36,24002.891969,35803.71364,184.0,1.0,False,High
130449,Female,26,Non-Hispanic White,Some college/AA degree,3.47,15472.116774,21770.591433,187.0,2.0,False,High
130450,Male,54,Non-Hispanic White,9-11th grade,1.65,40995.764315,48188.908104,177.0,1.0,False,Mid
130453,Male,70,Non-Hispanic White,High school/GED,3.82,45422.75759,44795.615416,173.0,1.0,False,High
130456,Female,24,Non-Hispanic White,Some college/AA degree,2.33,58154.406493,94228.197744,177.0,2.0,False,High
130457,Female,38,Non-Hispanic White,College graduate or above,5.0,15797.101354,19115.039482,183.0,1.0,False,Very High
130461,Female,71,Non-Hispanic White,College graduate or above,5.0,14741.35329,16455.818223,185.0,2.0,False,Very High
130465,Male,77,Non-Hispanic Black,College graduate or above,5.0,55457.997975,64497.907956,181.0,1.0,False,Very High
130466,Male,69,Non-Hispanic Asian,High school/GED,1.7349999999999999,28977.233178,38153.603422,174.0,2.0,False,Mid
130467,Male,53,Other Hispanic,Some college/AA degree,1.08,27051.763582,44019.420059,183.0,2.0,False,Mid
130473,Female,26,Other/Multi-Racial,College graduate or above,5.0,40970.004051,49391.984489,174.0,2.0,False,Very High
130474,Female,55,Non-Hispanic White,Some college/AA degree,5.0,38013.096615,48654.928771,179.0,1.0,False,Very High
130475,Female,55,Non-Hispanic White,College graduate or above,5.0,19497.694391,31810.798884,179.0,1.0,False,Very High
130477,Male,50,Non-Hispanic White,College graduate or above,5.0,143892.663387,170886.693786,186.0,1.0,False,Very High
130478,Female,69,Non-Hispanic White,College graduate or above,5.0,13132.611979,13220.966047,181.0,1.0,False,Very High
130484,Female,22,Non-Hispanic White,College graduate or above,1.27,15608.03767,18002.059982,185.0,1.0,False,Mid
130489,Male,57,Other Hispanic,9-11th grade,2.73,19279.479937,25517.84319,182.0,1.0,False,High
130491,Female,69,Other/Multi-Racial,Some college/AA degree,0.79,13023.672643,16689.511483,173.0,1.0,False,Low
130493,Female,72,Non-Hispanic White,College graduate or above,5.0,12860.243077,14538.378308,177.0,1.0,False,Very High
130494,Female,73,Non-Hispanic White,Some college/AA degree,1.52,16732.007552,20438.41196,179.0,1.0,False,Mid
130495,Male,60,Non-Hispanic White,High school/GED,0.96,24276.144623,33756.11733,185.0,1.0,False,Low
130497,Male,74,Non-Hispanic White,High school/GED,2.06,28234.252817,44117.395107,178.0,2.0,False,High
130500,Female,60,Non-Hispanic Black,College graduate or above,3.97,36532.855261,40879.07037,182.0,2.0,False,High
130502,Male,71,Non-Hispanic White,College graduate or above,4.06,13192.223503,14893.663706,174.0,2.0,False,High
130503,Male,75,Non-Hispanic White,College graduate or above,3.44,12043.392527,13326.913389,185.0,2.0,False,High
130504,Female,67,Other/Multi-Racial,College graduate or above,3.43,13477.691015,13779.265326,185.0,1.0,False,High
130506,Female,22,Non-Hispanic Black,Some college/AA degree,2.43,20118.225193,31028.268299,181.0,1.0,False,High
130508,Female,69,Non-Hispanic White,High school/GED,0.73,34401.228968,40404.156787,186.0,2.0,False,Low
130509,Female,51,Other/Multi-Racial,Some college/AA degree,5.0,49920.001118,76821.383077,184.0,1.0,False,Very High
130515,Female,54,Other Hispanic,Some college/AA degree,1.64,94496.517956,122017.192743,186.0,1.0,False,Mid
130517,Male,30,Non-Hispanic White,Some college/AA degree,3.02,23396.754108,30349.227728,179.0,1.0,False,High
130520,Male,29,Non-Hispanic Black,College graduate or above,5.0,57808.22853,90661.703203,183.0,1.0,False,Very High
130522,Male,58,Non-Hispanic White,<9th grade,1.46,20225.107651,21634.566371,181.0,1.0,False,Mid
130523,Female,61,Non-Hispanic White,College graduate or above,5.0,33395.375798,33222.21861,184.0,1.0,False,Very High
130525,Male,70,Non-Hispanic White,College graduate or above,5.0,20735.726629,26509.920553,183.0,1.0,False,Very High
130527,Male,79,Non-Hispanic White,College graduate or above,4.31,45766.136738,57975.950257,186.0,1.0,False,High
130530,Female,69,Non-Hispanic White,College graduate or above,1.23,11001.060151,11683.550571,174.0,2.0,False,Mid
130533,Male,80,Non-Hispanic White,Some college/AA degree,4.71,49587.057572,71615.04742,186.0,1.0,False,High
130537,Male,62,Non-Hispanic White,Some college/AA degree,3.58,22598.93832,24863.027661,173.0,1.0,False,High
130538,Male,63,Non-Hispanic White,College graduate or above,5.0,30173.054984,31519.193227,185.0,2.0,False,Very High
130540,Female,31,Other/Multi-Racial,9-11th grade,0.86,34055.741608,42841.849102,175.0,1.0,False,Low
130541,Female,30,Non-Hispanic White,College graduate or above,5.0,35797.500417,42605.501612,174.0,2.0,False,Very High
130545,Male,32,Non-Hispanic Black,High school/GED,1.26,30399.9366,36133.921056,184.0,1.0,False,Mid
130546,Male,24,Other/Multi-Racial,9-11th grade,1.03,49759.535895,57025.412535,180.0,1.0,False,Mid
130547,Male,78,Non-Hispanic White,College graduate or above,5.0,19188.367024,22106.134806,173.0,2.0,False,Very High
130550,Female,66,Non-Hispanic White,College graduate or above,5.0,31600.52303,37511.726139,182.0,2.0,False,Very High
130552,Female,54,Non-Hispanic Black,9-11th grade,0.92,23955.89626,38223.031814,182.0,2.0,False,Low
130553,Female,28,Non-Hispanic Black,Some college/AA degree,5.0,63403.321922,99181.607288,180.0,2.0,False,Very High
130555,Male,64,Non-Hispanic White,College graduate or above,5.0,41144.584561,50979.057918,182.0,2.0,False,Very High
130557,Male,62,Non-Hispanic White,Some college/AA degree,3.57,13989.662315,15228.640537,185.0,2.0,False,High
130558,Male,69,Non-Hispanic White,Some college/AA degree,0.92,17808.310976,19744.37197,173.0,1.0,False,Low
130559,Male,66,Non-Hispanic White,College graduate or above,5.0,20335.596218,29060.795607,175.0,2.0,False,Very High
130562,Female,63,Mexican American,<9th grade,0.51,14177.5405,25978.526615,180.0,1.0,False,Low
130563,Male,78,Other Hispanic,College graduate or above,4.62,17748.646289,17645.512929,176.0,1.0,False,High
130566,Male,66,Non-Hispanic White,College graduate or above,0.07,14439.811332,16368.344902,178.0,1.0,False,Low
130568,Female,80,Other Hispanic,College graduate or above,1.94,21901.282619,25266.398969,177.0,2.0,False,Mid
130569,Female,47,Mexican American,9-11th grade,1.41,25370.199915,26113.845419,179.0,2.0,False,Mid
130570,Male,56,Other Hispanic,9-11th grade,1.2,36061.077386,40172.55935,183.0,1.0,False,Mid
130571,Female,77,Non-Hispanic White,Some college/AA degree,2.92,20844.462151,29710.756388,185.0,2.0,False,High
130573,Female,65,Non-Hispanic Asian,9-11th grade,3.97,9330.124153,10797.984275,174.0,2.0,False,High
130574,Female,20,Mexican American,High school/GED,1.74,46556.073623,51773.904822,175.0,1.0,False,Mid
130576,Male,50,Other Hispanic,Some college/AA degree,0.18,11264.284443,14579.870269,175.0,2.0,False,Low
130577,Female,61,Non-Hispanic Black,9-11th grade,1.66,23742.107592,28542.760161,182.0,2.0,False,Mid
130578,Female,51,Non-Hispanic Black,High school/GED,3.24,32818.01199,52184.224562,181.0,1.0,False,High
130579,Male,80,Non-Hispanic White,College graduate or above,5.0,26409.21694,35664.152328,181.0,2.0,False,Very High
130580,Male,51,Other Hispanic,9-11th grade,1.29,13025.808432,14825.219407,183.0,2.0,False,Mid
130582,Male,32,Other/Multi-Racial,College graduate or above,2.16,70455.074469,64930.68547,176.0,2.0,False,High
130585,Male,60,Non-Hispanic Black,College graduate or above,2.61,16988.331554,16452.191997,173.0,1.0,False,High
130588,Female,32,Non-Hispanic Black,College graduate or above,2.61,29358.311373,37834.237829,184.0,2.0,False,High
130589,Male,58,Non-Hispanic Black,High school/GED,0.69,11234.448117,14416.546912,183.0,1.0,False,Low
130590,Female,51,Non-Hispanic White,College graduate or above,4.08,84810.045261,102472.123915,186.0,2.0,False,High
130593,Male,79,Non-Hispanic White,9-11th grade,2.41,14766.22283,16893.894344,177.0,1.0,False,High
130596,Female,66,Other Hispanic,Some college/AA degree,2.13,20633.150991,31762.578506,181.0,2.0,False,High
130598,Male,60,Non-Hispanic White,High school/GED,5.0,20063.026993,23945.793446,173.0,1.0,False,Very High
130599,Female,54,Other Hispanic,<9th grade,2.17,57134.517598,65280.499703,182.0,2.0,False,High
130600,Male,42,Non-Hispanic Black,9-11th grade,0.57,19022.307616,31894.806232,176.0,1.0,False,Low
130601,Female,56,Non-Hispanic White,High school/GED,4.54,19785.351908,28966.954674,177.0,1.0,False,High
130603,Male,75,Non-Hispanic White,9-11th grade,4.17,12706.963696,18820.786932,177.0,1.0,False,High
130604,Female,61,Non-Hispanic White,Some college/AA degree,2.31,12088.419618,13111.298753,174.0,2.0,False,High
130606,Female,29,Non-Hispanic White,High school/GED,4.68,84834.955195,102885.600779,178.0,1.0,False,High
130607,Female,36,Mexican American,Some college/AA degree,0.61,31807.297461,33332.562163,175.0,1.0,False,Low
130609,Female,40,Other Hispanic,College graduate or above,3.43,26605.779476,28663.337583,184.0,2.0,False,High
130611,Female,70,Non-Hispanic White,College graduate or above,5.0,28628.047981,38927.811742,178.0,1.0,False,Very High
130616,Male,43,Non-Hispanic White,College graduate or above,5.0,16674.589522,21372.782096,175.0,2.0,False,Very High
130617,Female,36,Non-Hispanic White,College graduate or above,5.0,47971.585972,66746.41895,174.0,2.0,False,Very High
130619,Male,27,Other/Multi-Racial,High school/GED,0.87,55446.312499,92645.194324,173.0,1.0,False,Low
130621,Male,68,Non-Hispanic White,College graduate or above,5.0,25379.768183,32002.124677,184.0,2.0,False,Very High
130623,Female,46,Non-Hispanic White,College graduate or above,3.7,69999.043837,85913.07102,182.0,2.0,False,High
130627,Male,73,Non-Hispanic White,High school/GED,3.0,43087.457793,61898.73051,181.0,2.0,False,High
130628,Male,22,Other Hispanic,Some college/AA degree,2.52,20730.437749,34562.538974,183.0,2.0,False,High
130629,Male,73,Non-Hispanic White,College graduate or above,5.0,14651.661916,18486.591746,174.0,1.0,False,Very High
130634,Female,51,Non-Hispanic White,Some college/AA degree,2.82,40097.221955,58155.891432,180.0,1.0,False,High
130636,Female,57,Other/Multi-Racial,Some college/AA degree,1.93,30483.135991,40342.582477,173.0,2.0,False,Mid
130637,Male,61,Mexican American,Some college/AA degree,5.0,16019.525158,15943.308597,180.0,1.0,False,Very High
130640,Female,31,Non-Hispanic Black,Some college/AA degree,0.23,32268.182554,71999.312234,183.0,1.0,False,Low
130642,Male,43,Non-Hispanic Asian,College graduate or above,5.0,38193.205235,39946.650433,175.0,1.0,False,Very High
130643,Male,73,Non-Hispanic Black,Some college/AA degree,1.85,12744.907581,16114.078861,184.0,2.0,False,Mid
130644,Female,30,Mexican American,College graduate or above,3.02,9994.075715,10553.107412,175.0,1.0,False,High
130645,Female,47,Other Hispanic,Some college/AA degree,0.39,11828.123241,16441.526078,176.0,1.0,False,Low
130646,Female,79,Non-Hispanic White,College graduate or above,5.0,22014.604331,25381.195417,178.0,2.0,False,Very High
130647,Male,65,Other/Multi-Racial,Some college/AA degree,1.04,13574.531323,15578.061055,174.0,1.0,False,Mid
130651,Female,80,Non-Hispanic White,High school/GED,3.68,12474.092288,21917.541796,184.0,2.0,False,High
130652,Male,34,Non-Hispanic White,Some college/AA degree,1.97,59522.901126,83629.288044,181.0,1.0,False,Mid
130654,Female,72,Mexican American,Some college/AA degree,2.29,12772.922196,18007.186144,179.0,2.0,False,High
130655,Male,69,Non-Hispanic White,College graduate or above,5.0,18284.65539,19084.881059,177.0,1.0,False,Very High
130656,Female,64,Other Hispanic,<9th grade,1.01,7260.206881,9553.223629,176.0,1.0,False,Mid
130658,Male,69,Other Hispanic,High school/GED,0.77,13876.077231,18033.876198,176.0,1.0,False,Low
130662,Female,52,Non-Hispanic Black,High school/GED,0.85,44709.306185,71003.183611,184.0,2.0,False,Low
130663,Female,76,Other Hispanic,College graduate or above,2.73,22675.45459,26350.712816,183.0,1.0,False,High
130664,Male,37,Non-Hispanic White,High school/GED,0.89,45806.794902,50118.126101,185.0,2.0,False,Low
130665,Female,55,Mexican American,Some college/AA degree,0.88,24339.344355,27691.668068,180.0,2.0,False,Low
130666,Male,57,Non-Hispanic White,High school/GED,3.28,42528.859517,51879.965684,181.0,2.0,False,High
130667,Male,36,Non-Hispanic Black,Some college/AA degree,1.85,53288.351055,70219.749666,181.0,1.0,False,Mid
130668,Female,34,Non-Hispanic White,Some college/AA degree,1.35,50594.166987,78214.350613,181.0,2.0,False,Mid
130670,Female,70,Non-Hispanic White,Some college/AA degree,1.61,13506.153802,15799.871977,177.0,1.0,False,Mid
130671,Female,25,Non-Hispanic White,Some college/AA degree,1.84,33175.074363,48574.036348,184.0,2.0,False,Mid
130674,Female,68,Non-Hispanic White,Some college/AA degree,2.21,21115.638935,27937.894961,181.0,2.0,False,High
130676,Female,25,Mexican American,College graduate or above,1.37,107891.20515,130996.214956,173.0,2.0,False,Mid
130683,Female,62,Non-Hispanic White,Some college/AA degree,5.0,28081.475479,32454.484297,173.0,2.0,False,Very High
130686,Male,58,Non-Hispanic Black,9-11th grade,1.4,13425.257567,18830.509455,176.0,1.0,False,Mid
130687,Male,73,Non-Hispanic White,Some college/AA degree,2.13,17095.528887,18966.270237,185.0,1.0,False,High
130688,Female,72,Other/Multi-Racial,College graduate or above,2.17,12871.324355,16362.871735,187.0,2.0,False,High
130690,Male,61,Other Hispanic,High school/GED,1.44,38094.711293,40099.254312,181.0,2.0,False,Mid
130691,Female,32,Non-Hispanic White,College graduate or above,5.0,30948.289629,39334.510362,184.0,2.0,False,Very High
130692,Female,44,Other/Multi-Racial,Some college/AA degree,3.18,21773.026883,26297.665659,176.0,1.0,False,High
130697,Female,20,Non-Hispanic White,High school/GED,1.91,34442.048035,45083.956187,181.0,1.0,False,Mid
130701,Female,33,Non-Hispanic Asian,College graduate or above,3.09,14175.793238,21437.144404,173.0,1.0,False,High
130703,Female,51,Other/Multi-Racial,9-11th grade,1.09,35786.449601,48557.407824,186.0,2.0,False,Mid
130704,Male,66,Non-Hispanic Black,High school/GED,0.88,9280.514123,10842.180256,183.0,1.0,False,Low
130705,Male,64,Non-Hispanic White,College graduate or above,5.0,7867.708483,8471.499863,178.0,2.0,False,Very High
130707,Female,22,Non-Hispanic White,College graduate or above,4.37,35774.4424,42114.571571,178.0,1.0,False,High
130708,Female,58,Non-Hispanic White,Some college/AA degree,5.0,46130.820875,66902.105881,184.0,1.0,False,Very High
130710,Female,77,Non-Hispanic White,Some college/AA degree,2.87,18765.129555,21159.897555,181.0,1.0,False,High
130711,Female,28,Other Hispanic,High school/GED,1.44,101219.62419,163540.999003,173.0,2.0,False,Mid
130713,Male,69,Non-Hispanic White,College graduate or above,4.42,23228.718135,23834.349834,187.0,2.0,False,High
130715,Male,48,Non-Hispanic White,High school/GED,3.88,49506.091819,58957.822544,177.0,2.0,False,High
130717,Female,68,Non-Hispanic Black,Some college/AA degree,2.13,31358.711397,30833.586087,182.0,2.0,False,High
130718,Male,65,Mexican American,9-11th grade,1.51,15518.380572,20362.124386,182.0,1.0,False,Mid
130720,Female,46,Non-Hispanic White,Some college/AA degree,0.79,42086.493124,52130.961204,187.0,2.0,False,Low
130722,Female,62,Non-Hispanic White,Some college/AA degree,1.75,17307.283996,17970.133199,184.0,2.0,False,Mid
130723,Male,76,Other/Multi-Racial,College graduate or above,1.85,20464.667463,25924.376131,180.0,2.0,False,Mid
130730,Female,76,Non-Hispanic White,College graduate or above,5.0,35585.964832,45781.035727,184.0,1.0,False,Very High
130734,Male,40,Non-Hispanic White,Some college/AA degree,2.58,10596.684845,13675.765026,180.0,1.0,False,High
130739,Male,64,Mexican American,9-11th grade,1.26,15395.859462,19333.845044,178.0,1.0,False,Mid
130742,Female,62,Non-Hispanic White,College graduate or above,4.57,14609.16676,15515.499079,175.0,1.0,False,High
130743,Male,80,Non-Hispanic White,Some college/AA degree,2.92,27019.021925,38866.184564,185.0,1.0,False,High
130744,Female,33,Mexican American,College graduate or above,1.81,58255.809004,53225.195963,184.0,1.0,False,Mid
130745,Female,38,Mexican American,Some college/AA degree,1.85,35883.001143,44208.982141,182.0,1.0,False,Mid
130746,Female,45,Non-Hispanic Black,High school/GED,0.86,28709.957407,47439.545831,183.0,1.0,False,Low
130752,Female,68,Other/Multi-Racial,<9th grade,0.18,7007.478276,8991.695218,184.0,2.0,False,Low
130754,Male,62,Non-Hispanic White,9-11th grade,1.47,48015.828809,74146.296574,180.0,2.0,False,Mid
130759,Male,65,Non-Hispanic White,Some college/AA degree,1.03,13989.662315,15228.640537,180.0,1.0,False,Mid
130760,Male,36,Non-Hispanic White,College graduate or above,4.32,35652.819468,52922.571651,173.0,1.0,False,High
130761,Female,43,Non-Hispanic White,Some college/AA degree,1.91,15214.229774,21736.194601,187.0,2.0,False,Mid
130762,Female,28,Other Hispanic,Some college/AA degree,2.13,54472.77831,70185.720172,182.0,2.0,False,High
130766,Male,80,Non-Hispanic Black,<9th grade,0.895,20599.257031,35641.520206,181.0,2.0,False,Low
130767,Female,70,Non-Hispanic Black,College graduate or above,1.62,9488.123525,13102.733192,187.0,2.0,False,Mid
130768,Female,71,Non-Hispanic White,Some college/AA degree,1.23,11482.825154,13852.807522,179.0,1.0,False,Mid
130769,Male,22,Non-Hispanic White,Some college/AA degree,1.48,55692.950775,78574.294065,187.0,1.0,False,Mid
130771,Male,57,Non-Hispanic Black,High school/GED,1.61,32904.359862,48644.127646,185.0,1.0,False,Mid
130774,Female,50,Non-Hispanic White,Some college/AA degree,0.23,27129.846807,33113.317448,184.0,1.0,False,Low
130775,Male,67,Non-Hispanic White,College graduate or above,5.0,18513.857575,20888.230997,174.0,2.0,False,Very High
130776,Female,40,Other Hispanic,High school/GED,0.75,12445.729818,14065.009665,176.0,1.0,False,Low
130777,Male,30,Non-Hispanic White,High school/GED,2.28,49945.839396,58410.744559,181.0,2.0,False,High
130780,Female,58,Non-Hispanic Black,9-11th grade,1.39,10613.019402,15053.154481,184.0,1.0,False,Mid
130781,Male,66,Non-Hispanic Black,Some college/AA degree,1.84,7063.725523,6911.401088,184.0,2.0,False,Mid
130782,Male,43,Non-Hispanic White,College graduate or above,5.0,16674.589522,19925.238865,175.0,2.0,False,Very High
130785,Male,33,Non-Hispanic Black,High school/GED,1.69,34369.722305,28532.828248,184.0,2.0,False,Mid
130786,Female,73,Non-Hispanic White,College graduate or above,5.0,13176.330994,15258.767815,180.0,1.0,False,Very High
130788,Male,39,Non-Hispanic White,College graduate or above,5.0,58853.450846,73305.476614,184.0,1.0,False,Very High
130791,Female,52,Non-Hispanic White,College graduate or above,3.22,11323.545587,14038.683009,174.0,2.0,False,High
130793,Male,71,Non-Hispanic White,High school/GED,2.28,60662.765089,71396.559775,180.0,2.0,False,High
130796,Male,47,Non-Hispanic White,High school/GED,3.45,28548.379599,38096.784421,177.0,1.0,False,High
130797,Male,73,Non-Hispanic White,College graduate or above,5.0,37825.885171,43577.659092,173.0,2.0,False,Very High
130799,Female,47,Non-Hispanic Black,High school/GED,1.26,58936.698288,138130.735772,181.0,1.0,False,Mid
130800,Female,28,Non-Hispanic Black,College graduate or above,4.1,22203.409351,33008.496737,184.0,2.0,False,High
130801,Male,56,Other Hispanic,High school/GED,0.88,9528.277384,12146.573679,175.0,2.0,False,Low
130802,Female,63,Non-Hispanic White,College graduate or above,4.37,13132.611979,13220.966047,181.0,1.0,False,High
130804,Male,52,Non-Hispanic White,<9th grade,0.92,24390.148297,32658.199663,181.0,2.0,False,Low
130805,Female,35,Non-Hispanic White,High school/GED,0.65,17808.569423,30241.547856,173.0,1.0,False,Low
130806,Female,77,Non-Hispanic Asian,9-11th grade,3.11,9529.82268,12084.306329,175.0,2.0,False,High
130807,Female,60,Non-Hispanic Black,High school/GED,0.66,12496.576186,13691.784392,187.0,2.0,False,Low
130810,Male,69,Non-Hispanic White,Some college/AA degree,1.44,24210.578266,37278.632415,181.0,2.0,False,Mid
130811,Male,59,Other Hispanic,College graduate or above,0.85,30776.393844,31355.738007,187.0,2.0,False,Low
130815,Male,51,Non-Hispanic Black,College graduate or above,2.58,11110.01783,13017.47543,187.0,2.0,False,High
130818,Female,36,Non-Hispanic White,High school/GED,2.8,26348.56617,35170.1969,176.0,2.0,False,High
130826,Female,79,Non-Hispanic White,Some college/AA degree,3.3,17549.244027,19180.97192,180.0,1.0,False,High
130827,Male,33,Non-Hispanic White,Some college/AA degree,5.0,40304.563855,49989.008584,179.0,2.0,False,Very High
130828,Female,22,Non-Hispanic Asian,9-11th grade,1.31,62398.042016,90422.825585,175.0,1.0,False,Mid
130829,Female,73,Non-Hispanic White,9-11th grade,3.55,26416.663646,33433.827639,186.0,2.0,False,High
130830,Male,62,Non-Hispanic White,College graduate or above,4.23,28202.282853,31284.485016,181.0,1.0,False,High
130832,Female,63,Non-Hispanic White,High school/GED,2.25,22666.300858,30846.238909,185.0,2.0,False,High
130833,Female,42,Non-Hispanic White,College graduate or above,3.68,68473.860733,83333.45778,187.0,1.0,False,High
130834,Male,30,Non-Hispanic White,Some college/AA degree,2.92,49766.489428,56656.876143,180.0,1.0,False,High
130835,Female,45,Non-Hispanic White,College graduate or above,5.0,21914.528799,35779.022841,175.0,1.0,False,Very High
130836,Male,61,Non-Hispanic White,High school/GED,1.13,17600.278126,24473.286954,178.0,1.0,False,Mid
130838,Male,60,Non-Hispanic White,Some college/AA degree,5.0,52847.653699,58793.394438,187.0,1.0,False,Very High
130839,Male,56,Mexican American,High school/GED,0.88,11406.747953,14328.14157,175.0,2.0,False,Low
130841,Female,79,Non-Hispanic White,Some college/AA degree,1.85,12207.69083,14426.335221,179.0,2.0,False,Mid
130842,Male,27,Non-Hispanic White,Some college/AA degree,4.83,34902.703446,42601.063029,177.0,1.0,False,High
130843,Male,46,Non-Hispanic White,Some college/AA degree,1.1,57948.282634,71289.05977,173.0,1.0,False,Mid
130845,Male,72,Non-Hispanic White,College graduate or above,5.0,10164.714742,10133.807075,185.0,1.0,False,Very High
130847,Male,74,Non-Hispanic White,High school/GED,1.69,18611.337351,32148.205415,173.0,1.0,False,Mid
130848,Female,33,Non-Hispanic White,Some college/AA degree,2.92,30649.52844,43221.706153,173.0,1.0,False,High
130854,Female,80,Non-Hispanic Asian,<9th grade,0.905,15569.481974,29813.372791,175.0,2.0,False,Low
130856,Male,80,Non-Hispanic White,High school/GED,3.28,45927.145576,63124.088085,181.0,2.0,False,High
130861,Female,78,Non-Hispanic White,College graduate or above,4.92,15535.106101,21412.892529,176.0,1.0,False,High
130863,Male,80,Non-Hispanic White,Some college/AA degree,5.0,23266.704886,32074.275096,186.0,2.0,False,Very High
130864,Male,52,Non-Hispanic White,<9th grade,1.2349999999999999,16467.072216,23042.956504,173.0,1.0,False,Mid
130865,Female,65,Non-Hispanic White,College graduate or above,3.3,14508.344534,15999.728887,184.0,1.0,False,High
130867,Female,49,Non-Hispanic White,High school/GED,0.94,56405.130222,67169.12546,186.0,2.0,False,Low
130868,Male,23,Non-Hispanic White,Some college/AA degree,2.94,35054.244669,41445.308868,182.0,1.0,False,High
130871,Female,65,Non-Hispanic White,Some college/AA degree,5.0,11111.975969,11502.037652,177.0,2.0,False,Very High
130875,Male,71,Non-Hispanic White,Some college/AA degree,2.54,13089.176227,14788.129597,180.0,1.0,False,High
130878,Female,39,Non-Hispanic White,Some college/AA degree,2.88,53217.594776,77591.856694,182.0,1.0,False,High
